dataset,total_time,loglikelihood_final,n_genes,n_cells,datafile_size,total_time_per_step_0,total_time_per_step_1,total_time_per_step_2,total_time_per_step_3,peak_mem_avg_nonzero,peak_mem_zero,peak_mem_avg_nonzero_step_0,peak_mem_zero_step_0,peak_mem_avg_nonzero_step_1,peak_mem_zero_step_1,peak_mem_avg_nonzero_step_2,peak_mem_zero_step_2,peak_mem_avg_nonzero_step_3,peak_mem_zero_step_3
simulated_binary_12_gens_samplingnoise_seed_2462,3186.8074748516083,-10595052.163063737,2541,4096,0.166323824,22.27033257484436,2579.583165168762,160.47744846343994,424.47652864456177,159.14272223578558,1205.2981300354004,,505.8324956893921,125.25988282097711,637.3605690002441,,597.244194984436,159.14272223578558,1205.2981300354004
simulated_binary_14_gens_samplingnoise_seed_2462,6410.798544406891,-45163237.06198443,2719,16384,0.70783196,58.108256101608276,2858.1065397262573,1179.056168794632,2315.5275797843933,409.27055592007105,4875.439377784729,,1486.070860862732,110.55705801645915,671.6529188156128,,2287.17116355896,409.27055592007105,4875.439377784729
simulated_binary_16_gens_samplingnoise_seed_2462,18476.177749872208,-182192419.6780299,2784,65536,2.890972544,267.5837233066559,3511.9634597301483,5897.602472782135,8799.028094053268,1138.9474483066135,9074.946962356567,,6086.279016494751,112.12478510538737,681.336503982544,,9074.946962356567,1138.9474483066135,8717.232518196106
simulated_binary_13_gens_samplingnoise_seed_2462,4255.42408156395,-21963613.77463353,2634,8192,0.343368368,57.303932189941406,2690.8700737953186,489.46683168411255,1017.783243894577,249.8414732615153,2405.280471801758,,788.5766153335571,119.59888903299968,653.6985721588135,,1148.6743535995483,249.8414732615153,2405.280471801758
simulated_binary_15_gens_samplingnoise_seed_2462,10733.702472448349,-91094139.8618919,2770,32768,1.439713168,163.01241302490234,3106.203493118286,2692.025064229965,4772.461502075195,614.1070969899496,4556.447316169739,,3071.1686573028564,112.85350142584906,681.6451377868652,,4556.447316169739,614.1070969899496,4374.959613800049
