dataset,loglikelihood,total_time,loglikelihood_final,n_genes,n_cells,datafile_size,peak_mem_avg_nonzero,peak_mem_zero
simulated_binary_6_gens_samplingnoise_seed_2462,-175131.0291860598,39.76562547683716,-103018.3922065733,1472.0,64.0,0.00149568,79.25954575008817,83.7009801864624
simulated_binary_8_gens_samplingnoise_seed_2462,-935401.3934617275,205.88341879844666,-513006.77717479516,1892.0,256.0,0.007734624,82.15185663435194,131.18908309936523
simulated_binary_10_gens_samplingnoise_seed_2462,-4724532.051612634,933.4315047264099,-2497491.1862173895,2347.0,1024.0,0.0384346,97.06511031256781,280.3593521118164
simulated_binary_12_gens_samplingnoise_seed_2462,-20926003.43988496,8056.858456373215,-10585753.00991228,2541.0,4096.0,0.166100216,178.23483286963568,1210.8992462158203
simulated_binary_14_gens_samplingnoise_seed_2462,-90580712.59333667,72124.88577079773,-45139679.210401356,2719.0,16384.0,0.69836984,553.0162739223904,4802.670564651489
simulated_binary_16_gens_samplingnoise_seed_2462,,,,,,,651.6228739420573,9884.22818851471
simulated_binary_13_gens_samplingnoise_seed_2462,-43519955.30190743,22456.764459848404,-21945988.04655424,2634.0,8192.0,0.342925856,333.9793833626641,2416.0526371002197
simulated_binary_15_gens_samplingnoise_seed_2462,-184285802.46635503,156366.8929297924,-91151340.32059877,2770.0,32768.0,1.391847568,782.7715120315552,8749.056438446045
